['20:07:54.697151', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [], 'Head Up']
['20:08:12.452095', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.6461669206619263)], -1]
['20:08:12.705208', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.7720581293106079)], -1]
['20:08:12.955762', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.7666938900947571)], -1]
['20:08:13.195573', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Open', [('person', 0.5760077238082886)], -1]
['20:08:13.434492', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Open', [('person', 0.7584044933319092)], -1]
['20:08:13.686641', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.7839388251304626)], -1]
['20:08:13.922589', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Open', [('person', 0.8271763920783997)], -1]
['20:08:14.161207', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.6096270680427551)], -1]
['20:08:14.413379', 'No face has been detected.']
['20:08:22.642128', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.5530586242675781)], -1]
['20:08:22.925209', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [], 'Head Down']
['20:08:23.195356', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.6289390325546265)], -1]
['20:08:23.463539', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.6118896007537842)], -1]
['20:08:23.715262', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.6836863160133362)], -1]
['20:08:23.968860', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.6923121213912964)], -1]
['20:08:24.206603', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.5559622645378113)], -1]
['20:08:24.444984', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.5817631483078003)], -1]
['20:08:24.696725', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.5886813402175903)], 'Head Down']
['20:08:24.950512', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.6346761584281921)], -1]
['20:08:25.188155', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.8160241842269897)], -1]
['20:08:25.424820', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.7988392114639282)], -1]
['20:08:25.661505', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.8106598258018494)], -1]
['20:08:25.897949', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.6305920481681824)], -1]
['20:08:26.149175', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.5914900302886963)], -1]
['20:08:26.401245', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.6067014336585999)], 'Head Up']
['20:08:26.652882', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.5787451267242432)], -1]
['20:08:26.906027', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.5741309523582458)], -1]
